"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Kcnab3";5,20104979265448e-13;2,52427025711347;0,08;0,011;9,73116416205654e-09;"P21";"Kcnab3"
"Slit3";5,622196248421e-13;1,72497377281483;0,147;0,043;1,05191291807957e-08;"P21";"Slit3"
"Cwc22";6,00523687955373e-13;1,30714880750921;0,28;0,137;1,1235798201645e-08;"P21";"Cwc22"
"N4bp2l1";6,56735508248077e-13;2,38797874721236;0,082;0,012;1,22875213593215e-08;"P21";"N4bp2l1"
"Fam193b";6,76197542612954e-13;1,01320937471323;0,321;0,161;1,26516560222884e-08;"P21";"Fam193b"
"Bcan";7,42142511742035e-13;1,8761793435995;0,099;0,02;1,38854863946935e-08;"P21";"Bcan"
"Maml3";8,81410427596062e-13;2,70361354376603;0,078;0,011;1,64911891003223e-08;"P21";"Maml3"
"Gse1";9,2034819112745e-13;3,00145202818229;0,084;0,013;1,72197146559946e-08;"P21";"Gse1"
"Emsy";9,45872824468828e-13;1,47024708858236;0,222;0,091;1,76972805458118e-08;"P21";"Emsy"
"Sf3b1";1,00250987925869e-12;0,847269302158966;0,481;0,312;1,87569598409302e-08;"P21";"Sf3b1"
"Stx16";1,04308552284537e-12;1,8062292494317;0,162;0,052;1,95161301324369e-08;"P21";"Stx16"
"Vipr1";1,0446137166048e-12;2,40987513108044;0,08;0,012;1,95447226376757e-08;"P21";"Vipr1"
"Chd6";1,04815184282276e-12;1,35101316024676;0,284;0,139;1,96109209792138e-08;"P21";"Chd6"
"Pcnx2";1,1517517369317e-12;1,17182254479966;0,256;0,115;2,1549274997992e-08;"P21";"Pcnx2"
"Clcn2";1,28734338654039e-12;1,33163313779738;0,192;0,071;2,40861947621707e-08;"P21";"Clcn2"
"Hmbox1";1,3950817480536e-12;1,74357946605911;0,155;0,049;2,61019795060829e-08;"P21";"Hmbox1"
"Chpf2";1,72588098422581e-12;1,14450274635309;0,188;0,07;3,22912332148649e-08;"P21";"Chpf2"
"Serinc2";2,03625852832895e-12;5,41635160544673;0,045;0,002;3,80983970650347e-08;"P21";"Serinc2"
"Gpm6b";2,30881221109276e-12;0,759426049445416;0,519;0,345;4,31978764695456e-08;"P21";"Gpm6b"
"Ccnt2";2,64540737738848e-12;0,954303279415828;0,362;0,198;4,94955720309385e-08;"P21";"Ccnt2"
"Sv2c";3,10323310099055e-12;2,6858030659034;0,075;0,011;5,80614913195333e-08;"P21";"Sv2c"
"Man1a";3,13009764949258e-12;2,73314652487781;0,091;0,017;5,85641270220061e-08;"P21";"Man1a"
"Cdh22";3,36082970564334e-12;2,17042981287279;0,095;0,019;6,28811237925868e-08;"P21";"Cdh22"
"Stk38l";3,93367193047121e-12;2,44958614356882;0,078;0,012;7,35990018191164e-08;"P21";"Stk38l"
"Peg3";4,46796949833428e-12;0,624844133172358;0,642;0,508;8,35957093138344e-08;"P21";"Peg3"
